@RELATION tweet

@ATTRIBUTE user {true,false}
@ATTRIBUTE word {true,false}
@ATTRIBUTE hashtag {true,false}
@ATTRIBUTE smiley {true,false}
@ATTRIBUTE argoInternet {true,false}
@ATTRIBUTE ponctuation {absent, regulier, surnombre}
@ATTRIBUTE retweet {true,false}
@ATTRIBUTE nbRetweet NUMERIC
@ATTRIBUTE longeur NUMERIC
@ATTRIBUTE categorie {Drole, Contrepetrie, PasDrole, Autoderision}
@ATTRIBUTE tweetDrole {true,false}

@DATA
false,false,false,false,false,absent,false,5,78,PasDrole,false
false,false,false,false,false,absent,false,14,72,PasDrole,false
false,false,false,false,false,absent,false,3,113,PasDrole,false
false,false,false,false,false,absent,false,7,63,PasDrole,false
false,false,false,false,false,absent,false,5,78,PasDrole,false
false,false,false,false,false,absent,false,10,70,PasDrole,false
false,false,false,false,false,absent,false,6,71,PasDrole,false
false,false,false,false,false,absent,false,7,68,PasDrole,false
false,false,false,false,false,absent,true,10,84,PasDrole,false
false,false,false,false,false,absent,true,7,99,PasDrole,false
false,false,false,false,false,absent,false,5,115,PasDrole,false
false,false,false,false,false,absent,false,4,97,PasDrole,false
false,false,false,false,false,absent,false,12,67,PasDrole,false
false,false,false,false,false,absent,false,10,73,PasDrole,false
false,false,false,false,false,absent,false,4,102,PasDrole,false
false,false,false,false,false,absent,false,6,69,PasDrole,false
false,false,false,false,false,absent,false,4,82,PasDrole,false
false,false,false,false,false,absent,false,3,77,PasDrole,false
false,false,false,false,false,absent,true,6,101,PasDrole,false
false,false,false,false,false,absent,false,8,79,PasDrole,false
false,false,false,false,false,absent,false,17,98,PasDrole,false
false,false,false,false,false,absent,false,7,73,PasDrole,false
false,false,false,false,false,absent,false,12,84,PasDrole,false
false,false,false,false,false,absent,false,39,55,PasDrole,false
false,false,false,false,false,absent,false,30,66,PasDrole,false
false,false,false,false,false,absent,false,41,87,PasDrole,false
false,false,false,false,false,absent,false,11,73,PasDrole,false
false,false,false,false,false,absent,false,25,53,PasDrole,false
false,false,false,false,false,absent,false,7,88,PasDrole,false
false,false,false,false,false,absent,false,6,74,PasDrole,false
false,false,false,false,false,absent,false,7,127,PasDrole,false
false,false,false,false,false,absent,false,18,111,PasDrole,false
false,false,false,false,false,absent,false,9,107,PasDrole,false
false,false,false,false,false,absent,false,7,96,PasDrole,false
false,false,false,false,false,absent,false,21,96,PasDrole,false
false,false,false,false,false,absent,false,4,130,PasDrole,false
false,false,false,false,false,absent,false,9,97,PasDrole,false
false,false,false,false,false,absent,false,4,72,PasDrole,false
false,false,false,false,false,absent,false,3,88,PasDrole,false
false,false,false,false,false,absent,false,9,62,PasDrole,false
false,false,false,false,false,absent,false,11,124,PasDrole,false
false,false,false,false,false,absent,false,24,53,PasDrole,false
false,false,false,false,false,absent,false,31,93,PasDrole,false
false,false,false,false,false,absent,false,9,87,PasDrole,false
false,false,false,false,false,absent,false,11,81,PasDrole,false
false,false,false,false,false,absent,false,2,107,PasDrole,false
false,false,false,false,false,absent,false,6,76,PasDrole,false
false,false,false,false,false,absent,false,10,113,PasDrole,false
false,false,false,false,false,absent,false,8,92,PasDrole,false
false,false,false,false,false,absent,false,11,132,PasDrole,false
false,false,false,false,false,absent,false,7,66,PasDrole,false
false,false,false,false,false,absent,false,32,96,PasDrole,false
false,false,false,false,false,absent,false,11,76,PasDrole,false
false,false,false,false,false,absent,false,6,56,PasDrole,false
false,false,false,false,false,absent,false,11,66,PasDrole,false
false,false,false,false,false,absent,false,5,53,PasDrole,false
false,false,false,false,false,absent,false,7,101,PasDrole,false
false,false,false,false,false,absent,false,4,61,PasDrole,false
false,false,false,false,false,absent,false,6,95,PasDrole,false
false,false,false,false,false,absent,false,7,96,PasDrole,false
false,false,false,false,false,absent,false,4,73,PasDrole,false
false,false,false,false,false,absent,false,10,83,PasDrole,false
false,false,false,false,false,absent,false,9,84,PasDrole,false
false,false,false,false,false,absent,false,3,69,PasDrole,false
false,false,false,false,false,absent,false,3,89,PasDrole,false
false,false,false,false,false,absent,true,5,103,PasDrole,false
false,false,false,false,false,absent,false,8,73,PasDrole,false
false,false,false,false,false,absent,true,7,109,PasDrole,false
false,false,false,false,false,absent,false,8,53,PasDrole,false
false,false,false,true,false,surnombre,false,0,38,PasDrole,false
false,false,false,false,false,absent,false,3,125,PasDrole,false
false,false,false,false,false,absent,false,2,116,PasDrole,false
false,false,false,false,false,absent,false,2,132,PasDrole,false
false,false,false,false,false,regulier,true,2,140,PasDrole,false
false,false,false,false,false,absent,false,4,117,PasDrole,false
false,false,false,false,false,absent,true,4,136,PasDrole,false
false,false,false,false,false,absent,false,1,116,PasDrole,false
false,false,false,true,false,absent,false,0,46,PasDrole,false
false,false,false,true,false,absent,false,0,52,PasDrole,false
false,false,false,false,false,regulier,true,1,140,PasDrole,false
false,false,false,false,false,absent,true,3,140,PasDrole,false
false,false,false,false,false,absent,false,0,70,PasDrole,false
false,false,false,false,false,absent,false,3,117,PasDrole,false
false,false,false,false,false,absent,false,11,118,PasDrole,false
false,false,false,false,false,absent,false,4,118,PasDrole,false
false,false,false,false,false,absent,false,3,94,PasDrole,false
false,false,false,false,false,absent,false,3,133,PasDrole,false
false,false,false,false,false,absent,false,1,113,PasDrole,false
false,false,false,false,false,absent,false,15,72,PasDrole,false
false,false,false,true,false,absent,false,0,42,PasDrole,false
false,false,false,false,false,absent,false,2,124,PasDrole,false
false,false,false,false,false,surnombre,false,3,109,PasDrole,false
false,false,false,false,false,absent,false,0,99,PasDrole,false
false,false,false,false,false,absent,false,5,122,PasDrole,false
