@relation tweet-weka.filters.unsupervised.attribute.Remove-R10

@attribute user {true,false}
@attribute word {true,false}
@attribute hashtag {true,false}
@attribute smiley {true,false}
@attribute argoInternet {true,false}
@attribute ponctuation {absent,regulier,surnombre}
@attribute retweet {true,false}
@attribute nbRetweet numeric
@attribute longeur numeric
@attribute tweetDrole {true,false}

@data
false,false,false,false,false,absent,false,6,69,false
false,false,false,false,false,absent,false,4,82,false
false,false,false,false,false,absent,false,3,77,false
false,false,false,false,false,absent,true,6,101,false
false,false,false,false,false,absent,false,8,79,false
false,false,false,false,false,absent,false,17,98,false
false,false,false,false,false,absent,false,7,73,false
false,false,false,false,false,absent,false,12,84,false
false,false,false,false,false,absent,false,39,55,false
false,false,false,false,false,absent,false,30,66,false
false,false,false,false,false,absent,false,41,87,false
false,false,false,false,false,absent,false,11,73,false
false,false,false,false,false,absent,false,25,53,false
false,false,false,false,false,absent,false,7,88,false
false,false,false,false,false,absent,false,6,74,false
false,false,false,false,false,absent,false,7,127,false
false,false,false,false,false,absent,false,18,111,false
false,false,false,false,false,absent,false,9,107,false
false,false,false,false,false,absent,false,7,96,false
false,false,false,false,false,absent,false,21,96,false
false,false,false,false,false,absent,false,4,130,false
false,false,false,false,false,absent,false,9,97,false
false,false,false,false,false,absent,false,4,72,false
false,false,false,false,false,absent,false,3,88,false
false,false,false,false,false,absent,false,9,62,false
false,false,false,false,false,absent,false,11,124,false
false,false,false,false,false,absent,false,24,53,false
false,false,false,false,false,absent,false,31,93,false
false,false,false,false,false,absent,false,9,87,false
false,false,false,false,false,absent,false,11,81,false
false,false,false,false,false,absent,false,2,107,false
false,false,false,false,false,absent,false,6,76,false
false,false,false,false,false,absent,false,10,113,false
false,false,false,false,false,absent,false,8,92,false
false,false,false,false,false,absent,false,11,132,false
false,false,false,false,false,absent,false,7,66,false
false,false,false,false,false,absent,false,32,96,false
false,false,false,false,false,absent,false,11,76,false
false,false,false,false,false,absent,false,6,56,false
false,false,false,false,false,absent,false,11,66,false
false,false,false,false,false,absent,false,5,53,false
false,false,false,false,false,absent,false,7,101,false
false,false,false,false,false,absent,false,4,61,false
false,false,false,false,false,absent,false,6,95,false
false,false,false,false,false,absent,false,7,96,false
false,false,false,false,false,absent,false,4,73,false
false,false,false,false,false,absent,false,10,83,false
false,false,false,false,false,absent,false,9,84,false
false,false,false,false,false,absent,false,3,69,false
false,false,false,false,false,absent,false,3,89,false
false,false,false,false,false,absent,true,5,103,false
false,false,false,false,false,absent,false,8,73,false
false,false,false,false,false,absent,true,7,109,false
false,false,false,false,false,absent,false,8,53,false
false,false,false,true,false,surnombre,false,0,38,false
false,false,false,false,false,absent,false,3,125,false
false,false,false,false,false,absent,false,2,116,false
false,false,false,false,false,absent,false,2,132,false
false,false,false,false,false,regulier,true,2,140,false
false,false,false,false,false,absent,false,4,117,false
false,false,false,false,false,absent,true,4,136,false
false,false,false,false,false,absent,false,1,116,false
false,false,false,true,false,absent,false,0,46,false
false,false,false,true,false,absent,false,0,52,false
false,false,false,false,false,regulier,true,1,140,false
false,false,false,false,false,absent,true,3,140,false
false,false,false,false,false,absent,false,0,70,false
false,false,false,false,false,absent,false,3,117,false
false,false,false,false,false,absent,false,11,118,false
false,false,false,false,false,absent,false,4,118,false
false,false,false,false,false,absent,false,3,94,false
false,false,false,false,false,absent,false,3,133,false
false,false,false,false,false,absent,false,1,113,false
false,false,false,false,false,absent,false,15,72,false
false,false,false,true,false,absent,false,0,42,false
